AB102,Target,AB104,AB105
112,1,F,H
80,1,B,B
U,1,B,D
28,1,L,H
70,1,D,H
118,0,I,A
99,1,E,F
93,0,A,H
105,0,L,B
28,1,G,H
84,0,C,A
27,1,J,D
83,1,H,H
89,1,B,A
U,1,F,H
96,1,B,A
101,1,G,A
27,1,G,A
119,1,D,F
95,1,H,F
126,0,L,H
U,1,Q,B
98,1,B,A
103,1,H,F
96,1,C,H
101,1,E,A
98,1,F,F
84,1,L,A
78,1,P,F
102,1,G,H
U,0,M,B
119,0,J,H
U,1,N,H
69,1,J,F
27,1,I,H
99,1,C,F
U,1,B,H
69,1,H,B
81,1,C,H
69,1,H,F
69,0,M,A
69,1,H,H
88,1,E,H
98,1,E,H
88,1,E,A
99,1,G,D
U,1,P,F
27,1,B,H
27,1,O,D
128,0,C,B
130,0,N,H
116,1,G,F
28,1,L,A
70,1,J,H
83,1,B,F
85,1,M,A
U,1,F,F
121,0,P,H
94,1,C,F
88,1,B,H
28,1,J,A
104,1,M,H
89,1,N,A
68,0,F,A
82,0,H,A
U,1,D,H
83,1,C,H
27,1,F,H
102,1,A,A
117,1,L,F
U,1,H,A
96,1,G,F
U,1,L,H
117,1,B,F
U,1,C,F
U,1,F,A
U,1,L,F
105,1,G,A
99,1,C,A
U,1,E,H
101,1,J,H
97,1,C,A
94,1,M,B
103,0,C,F
U,1,H,F
102,0,B,A
102,1,E,A
100,1,J,H
98,1,H,H
96,1,H,A
27,1,G,H
28,1,H,F
27,1,G,F
97,1,H,A
U,0,P,B
U,1,E,H
83,0,B,A
117,1,P,A
99,1,M,H
103,1,G,F
117,0,E,A
U,1,B,H
86,0,L,A
116,1,L,H
83,1,B,B
100,1,M,H
U,1,G,D
88,1,O,H
112,1,J,F
U,1,O,A
107,1,E,F
96,1,G,F
106,1,H,F
122,0,P,B
U,1,E,C
U,1,G,H
84,1,H,A
27,1,B,H
U,1,D,H
113,1,O,F
94,1,H,H
88,1,C,H
65,1,C,H
101,1,G,H
119,0,O,F
101,1,H,F
82,1,E,H
102,1,P,B
117,1,B,F
101,1,E,D
97,1,L,A
71,1,P,A
U,0,B,A
80,1,P,B
99,0,C,A
90,1,F,F
126,0,F,H
