"AB106","AB107","AB108","AB109","AB110","AB111","AB112","AB113","AB114","AB115","AB116","AB117","AB118","AB119"
"U","G","C","B","G","G","A","G","B","G","C","H","C","C"
"U","U","U","B","G","U","U","F","U","C","C","N","C","C"
"U","F","C","B","G","G","G","H","B","C","B","H","C","B"
"U","F","C","B","C","C","G","G","B","F","B","F","G","G"
"U","F","C","B","G","G","G","H","B","H","C","C","C","C"
"B","G","G","B","G","G","A","B","B","C","C","H","C","C"
"B","G","C","B","G","G","A","F","B","G","B","C","C","G"
"U","F","G","B","G","G","A","B","U","C","B","F","C","C"
"G","G","C","C","G","G","A","H","B","G","B","F","G","C"
"U","F","G","B","G","G","C","F","B","F","C","N","C","B"
"U","F","C","B","C","U","A","F","B","F","F","N","G","U"
"U","G","G","B","G","G","B","F","B","F","C","C","C","C"
"B","G","C","B","C","G","H","H","B","C","C","G","C","C"
"U","G","G","B","G","G","C","G","U","C","C","G","C","C"
"B","G","G","B","G","G","C","G","B","B","B","C","C","C"
"U","G","G","B","G","G","A","A","B","C","B","H","C","C"
"U","G","G","B","G","G","H","H","B","B","C","G","C","U"
"U","F","C","B","G","G","B","A","B","C","B","N","C","C"
"U","G","G","B","G","G","A","A","B","G","B","C","G","B"
"U","F","G","B","G","U","U","A","U","F","B","H","G","G"
"U","G","C","B","G","G","C","H","B","C","B","F","C","H"
"U","U","U","U","G","U","U","U","U","B","A","N","C","H"
"U","F","C","B","G","U","B","A","U","C","B","N","C","H"
"U","G","G","G","G","G","B","F","B","F","B","F","C","C"
"B","G","C","C","G","G","A","H","B","C","C","G","C","C"
"U","C","G","B","G","U","U","A","B","B","B","N","C","G"
"U","G","G","B","G","G","H","F","B","B","B","F","G","H"
"B","G","G","B","C","U","B","A","B","B","C","G","C","H"
"B","G","C","B","G","G","A","B","B","B","B","F","G","B"
"U","G","G","B","G","G","G","A","B","G","C","N","G","C"
"C","G","G","B","G","G","B","F","B","C","C","G","C","H"
"U","G","G","C","G","G","H","G","B","F","C","G","G","G"
"U","G","C","B","G","U","U","F","B","G","C","F","C","U"
"U","F","C","U","G","G","A","U","B","F","F","N","G","C"
"U","G","C","B","G","G","B","F","A","B","C","H","C","C"
"U","F","C","B","G","G","A","G","B","F","C","H","G","B"
"B","G","C","B","G","C","A","H","A","B","C","G","C","B"
"U","G","G","B","G","G","G","A","B","C","C","H","C","C"
"A","G","G","B","G","G","B","F","B","G","C","H","G","G"
"U","F","G","B","G","G","B","H","B","F","C","H","C","B"
"U","F","C","B","G","U","C","F","A","B","B","F","C","U"
"U","F","C","U","G","U","A","U","B","G","F","N","C","C"
"U","G","C","G","G","G","A","H","B","B","B","F","C","C"
"B","G","C","B","G","G","A","F","B","F","B","H","C","C"
"U","G","G","B","G","G","U","H","B","G","C","G","C","C"
"U","G","G","B","G","G","A","A","B","F","B","C","C","B"
"U","G","G","B","G","G","B","F","B","F","B","F","G","H"
"C","F","G","F","G","G","H","G","B","F","C","H","C","C"
"U","F","G","B","G","G","G","A","B","F","B","C","C","C"
"U","G","C","B","G","U","G","A","B","C","C","N","C","C"
"U","F","C","B","C","G","G","F","B","B","C","F","C","B"
"U","C","C","B","G","U","C","A","U","B","C","H","C","C"
"B","G","C","B","G","G","U","A","B","C","B","F","C","C"
"U","F","C","B","C","G","G","F","B","B","C","G","C","G"
"U","G","C","B","G","G","B","A","B","G","B","C","C","C"
"U","F","C","A","G","U","H","H","B","C","B","H","C","U"
"U","C","G","B","G","U","U","F","F","B","B","H","G","U"
"B","G","G","B","G","G","H","F","A","F","B","F","C","C"
"U","G","C","F","G","G","H","H","F","B","B","F","G","C"
"U","F","G","B","G","G","A","F","B","G","C","N","C","C"
"U","G","C","B","G","G","H","A","B","F","B","N","C","H"
"U","G","G","B","C","G","B","H","B","C","C","H","C","C"
"B","G","G","H","G","G","B","H","H","F","C","G","C","C"
"B","G","G","A","G","G","G","C","B","C","C","G","C","C"
"B","G","G","C","G","G","A","G","B","G","C","G","G","G"
"U","G","G","G","C","G","A","G","B","B","B","G","C","C"
"U","F","C","B","G","U","A","A","G","G","B","C","C","U"
"U","F","G","A","C","G","C","G","G","G","B","H","C","C"
"U","G","C","B","G","G","A","H","B","B","C","H","C","U"
"B","F","C","B","G","G","H","A","H","F","B","C","C","H"
"U","G","G","B","G","G","B","F","B","C","B","G","C","C"
"U","G","C","H","G","G","H","G","B","G","B","F","C","G"
"B","G","C","F","G","G","B","F","B","B","C","G","C","G"
"U","F","C","B","G","G","A","A","U","B","B","H","G","U"
"U","G","G","B","G","G","G","F","B","B","B","F","C","C"
"U","G","G","B","G","G","B","F","B","F","C","G","C","C"
"U","F","C","B","G","C","B","H","B","G","B","H","C","B"
"U","G","G","B","G","G","B","F","B","G","B","G","G","G"
"B","G","C","B","G","G","A","G","A","C","C","H","C","G"
"U","G","C","B","G","G","A","G","B","B","B","H","C","C"
"U","G","C","B","G","U","U","H","B","G","C","G","C","U"
"U","F","G","B","C","U","H","A","B","C","B","N","C","C"
"B","G","G","B","G","G","H","H","G","C","C","F","C","H"
"B","G","C","B","G","G","A","G","B","G","C","H","G","C"
"U","F","G","B","G","G","C","F","B","F","B","H","C","G"
"U","F","C","B","G","G","H","A","B","F","C","N","C","C"
"G","G","G","B","G","G","H","H","B","C","B","C","C","C"
"U","F","G","B","G","G","B","G","B","F","B","F","C","H"
"A","F","G","B","C","U","G","F","B","F","C","F","G","B"
"U","G","C","F","G","G","G","H","U","B","B","G","C","C"
"U","G","G","B","G","G","G","A","B","C","C","G","C","C"
"U","F","G","U","C","U","B","U","B","F","F","N","C","C"
"U","F","C","B","G","G","A","A","B","C","B","C","C","B"
"U","G","C","B","G","G","B","F","B","G","C","G","C","C"
"U","F","G","B","G","G","G","F","F","C","B","H","C","C"
"U","G","C","A","G","C","G","H","U","B","C","F","C","C"
"U","G","C","B","G","G","U","C","B","C","C","G","C","U"
"U","G","C","H","G","G","B","H","B","C","B","H","C","B"
"U","G","C","B","G","G","A","A","B","G","C","H","C","C"
"G","G","C","G","G","C","H","G","B","F","B","C","G","C"
"B","G","C","B","G","G","A","F","B","B","C","G","C","C"
"U","G","G","B","G","G","G","G","B","B","C","F","C","C"
"B","G","C","B","G","G","A","G","G","C","C","F","C","C"
"U","C","G","U","C","C","H","U","U","C","B","N","G","C"
"U","G","G","F","G","G","B","F","F","C","C","G","C","C"
